지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2016-09-07,24.3,20.9,610,28.6,1457,,,,,,
108,서울,2016-09-08,23,21.5,635,26.5,1113,2.85,1.5,1239,3.5,1154,4.5
108,서울,2016-09-09,23.9,19.7,518,29.3,1430,,,,,,
108,서울,2016-09-10,24.4,20,458,29.1,1541,,,,,,
108,서울,2016-09-11,24.5,22.1,530,28.2,1308,,,,,,
108,서울,2016-09-12,23.4,21.4,2341,27.5,1339,.78,1.5,1409,2.5,1358,2.5
108,서울,2016-09-13,24.6,19.6,615,30.8,1352,,,,,,
108,서울,2016-09-14,24.6,21.4,2348,28.9,1459,,,,,,
108,서울,2016-09-15,23.9,18.8,544,29.5,1412,,,,,,
108,서울,2016-09-16,24.6,20.4,642,29.5,1233,,,,,,
108,서울,2016-09-17,23.1,18.5,823,28.2,1445,7.5,1,631,3.5,628,7
108,서울,2016-09-18,23.5,20.2,545,28.3,1549,,,,,,
108,서울,2016-09-19,21.9,18.2,607,27.8,1510,,,,,,
108,서울,2016-09-20,20.6,15.4,623,26.8,1514,,,,,,
108,서울,2016-09-21,20.2,14.3,628,25.3,1349,,,,,,
108,서울,2016-09-22,21.9,17.5,630,27.2,1648,,,,,,
108,서울,2016-09-23,21.4,16.4,623,27.9,1413,,,,,,
108,서울,2016-09-24,22.3,16.5,637,28.9,1538,,,,,,
108,서울,2016-09-25,23,18.6,651,29.7,1535,,,,,,
